txn_id,case_id,payer_account,payee_account,payer_upi,payee_upi,amount_inr,txn_type,timestamp,channel,ifsc,source_file
TXN-00001,CASE_001,ICIC0001100101,SBIN0003300103,subjecta@upi,subjectc@upi,250.00,UPI,2026-08-15T19:20:00+00:00,MOBILE,SBIN0001234,bank.csv
TXN-00002,CASE_001,ICIC0001100101,SBIN0003300103,subjecta@upi,subjectc@upi,480.00,UPI,2026-08-16T19:20:00+00:00,MOBILE,SBIN0001234,bank.csv
TXN-00003,CASE_001,ICIC0001100101,SBIN0003300103,subjecta@upi,subjectc@upi,1200.00,UPI,2026-08-17T19:20:00+00:00,MOBILE,SBIN0001234,bank.csv
TXN-00004,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,49000.00,UPI,2026-08-15T09:06:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00005,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-15T13:10:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00006,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,49000.00,UPI,2026-08-15T17:11:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00007,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,50000.00,UPI,2026-08-15T21:13:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00008,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,50000.00,UPI,2026-08-16T01:13:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00009,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-16T05:13:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00010,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,49000.00,UPI,2026-08-16T09:07:00+00:00,MOBILE,PUNB0001234,bank.csv
