entity_id,case_id,display_name,identifier_type,identifier_value,confidence,source_file
E-101,ALL,Subject A,PHONE,9999900101,1.00,entities.csv
E-101,ALL,Subject A,IMEI,356938035643101,1.00,entities.csv
E-101,ALL,Subject A,IMSI,404450123456101,1.00,entities.csv
E-101,ALL,Subject A,BANK_ACCOUNT,ICIC0001100101,1.00,entities.csv
E-101,ALL,Subject A,UPI,subjecta@upi,1.00,entities.csv
E-101,ALL,Subject A,SOCIAL_HANDLE,@subject_a,1.00,entities.csv
E-101,ALL,Subject A,IP,203.0.113.11,1.00,entities.csv
E-101,ALL,Subject A,DEVICE,DEV-101,1.00,entities.csv
E-102,ALL,Subject B,PHONE,9999900102,1.00,entities.csv
E-102,ALL,Subject B,IMEI,356938035643102,1.00,entities.csv
E-102,ALL,Subject B,IMSI,404450123456102,1.00,entities.csv
E-102,ALL,Subject B,BANK_ACCOUNT,HDFC0002200102,1.00,entities.csv
E-102,ALL,Subject B,UPI,subjectb@upi,1.00,entities.csv
E-102,ALL,Subject B,SOCIAL_HANDLE,@subject_b,1.00,entities.csv
E-102,ALL,Subject B,IP,203.0.113.12,1.00,entities.csv
E-102,ALL,Subject B,DEVICE,DEV-102,1.00,entities.csv
E-103,ALL,Subject C,PHONE,9999900103,1.00,entities.csv
E-103,ALL,Subject C,IMEI,356938035643103,1.00,entities.csv
E-103,ALL,Subject C,IMSI,404450123456103,1.00,entities.csv
E-103,ALL,Subject C,BANK_ACCOUNT,SBIN0003300103,1.00,entities.csv
E-103,ALL,Subject C,UPI,subjectc@upi,1.00,entities.csv
E-103,ALL,Subject C,SOCIAL_HANDLE,@subject_c,1.00,entities.csv
E-103,ALL,Subject C,IP,203.0.113.13,1.00,entities.csv
E-103,ALL,Subject C,DEVICE,DEV-103,1.00,entities.csv
E-104,ALL,Subject D,PHONE,9999900104,1.00,entities.csv
E-104,ALL,Subject D,IMEI,356938035643104,1.00,entities.csv
E-104,ALL,Subject D,IMSI,404450123456104,1.00,entities.csv
E-104,ALL,Subject D,BANK_ACCOUNT,AXIS0004400104,1.00,entities.csv
E-104,ALL,Subject D,UPI,subjectd@upi,1.00,entities.csv
E-104,ALL,Subject D,SOCIAL_HANDLE,@subject_d,1.00,entities.csv
E-104,ALL,Subject D,IP,203.0.113.14,1.00,entities.csv
E-104,ALL,Subject D,DEVICE,DEV-104,1.00,entities.csv
E-105,ALL,Subject E,PHONE,9999900105,1.00,entities.csv
E-105,ALL,Subject E,IMEI,356938035643105,1.00,entities.csv
E-105,ALL,Subject E,IMSI,404450123456105,1.00,entities.csv
E-105,ALL,Subject E,BANK_ACCOUNT,PUNB0005500105,1.00,entities.csv
E-105,ALL,Subject E,UPI,subjecte@upi,1.00,entities.csv
E-105,ALL,Subject E,SOCIAL_HANDLE,@subject_e,1.00,entities.csv
E-105,ALL,Subject E,IP,203.0.113.15,1.00,entities.csv
E-105,ALL,Subject E,DEVICE,DEV-105,1.00,entities.csv
E-106,ALL,Subject F,PHONE,9999900106,1.00,entities.csv
E-106,ALL,Subject F,IMEI,356938035643106,1.00,entities.csv
E-106,ALL,Subject F,IMSI,404450123456106,1.00,entities.csv
E-106,ALL,Subject F,BANK_ACCOUNT,KKBK0006600106,1.00,entities.csv
E-106,ALL,Subject F,UPI,subjectf@upi,1.00,entities.csv
E-106,ALL,Subject F,SOCIAL_HANDLE,@subject_f,1.00,entities.csv
E-106,ALL,Subject F,IP,203.0.113.16,1.00,entities.csv
E-106,ALL,Subject F,DEVICE,DEV-106,1.00,entities.csv
E-101,CASE_005,Subject A,PHONE,9999900901,0.82,entities.csv
