record_id,case_id,subscriber_msisdn,private_ip,public_ip,dest_ip,dest_port,start_time,end_time,bytes_up,bytes_down,imei,access_type,source_file
IPDR-00001,CASE_001,9999900101,10.14.7.22,203.0.113.11,198.51.100.7,443,2026-08-15T14:00:00+00:00,2026-08-15T14:12:00+00:00,7590,38699,356938035643101,4G,ipdr.csv
IPDR-00002,CASE_001,9999900101,10.14.7.22,203.0.113.11,198.51.100.7,443,2026-08-16T14:00:00+00:00,2026-08-16T14:12:00+00:00,8475,25152,356938035643101,4G,ipdr.csv
IPDR-00003,CASE_001,9999900101,10.14.7.22,203.0.113.11,198.51.100.7,443,2026-08-17T14:00:00+00:00,2026-08-17T14:12:00+00:00,4837,46532,356938035643101,4G,ipdr.csv
IPDR-00004,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T08:57:00+00:00,2026-08-15T09:03:00+00:00,2525,23829,356938035643104,4G,ipdr.csv
IPDR-00005,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T12:57:00+00:00,2026-08-15T13:03:00+00:00,3270,24586,356938035643104,4G,ipdr.csv
IPDR-00006,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T16:57:00+00:00,2026-08-15T17:03:00+00:00,2108,18460,356938035643104,4G,ipdr.csv
IPDR-00007,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T20:57:00+00:00,2026-08-15T21:03:00+00:00,2435,9548,356938035643104,4G,ipdr.csv
IPDR-00008,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-16T00:57:00+00:00,2026-08-16T01:03:00+00:00,3987,10228,356938035643104,4G,ipdr.csv
IPDR-00009,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-16T04:57:00+00:00,2026-08-16T05:03:00+00:00,2295,13734,356938035643104,4G,ipdr.csv
IPDR-00010,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-16T08:57:00+00:00,2026-08-16T09:03:00+00:00,3459,10977,356938035643104,4G,ipdr.csv
IPDR-00011,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-16T12:57:00+00:00,2026-08-16T13:03:00+00:00,2960,13837,356938035643104,4G,ipdr.csv
IPDR-00012,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-16T16:57:00+00:00,2026-08-16T17:03:00+00:00,1604,19635,356938035643104,4G,ipdr.csv
IPDR-00013,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-16T20:57:00+00:00,2026-08-16T21:03:00+00:00,3002,23262,356938035643104,4G,ipdr.csv
IPDR-00014,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-17T00:57:00+00:00,2026-08-17T01:03:00+00:00,3840,14755,356938035643104,4G,ipdr.csv
IPDR-00015,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-17T04:57:00+00:00,2026-08-17T05:03:00+00:00,3550,10420,356938035643104,4G,ipdr.csv
IPDR-00016,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-17T08:57:00+00:00,2026-08-17T09:03:00+00:00,3532,15115,356938035643104,4G,ipdr.csv
IPDR-00017,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-17T12:57:00+00:00,2026-08-17T13:03:00+00:00,2040,18896,356938035643104,4G,ipdr.csv
IPDR-00018,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-17T16:57:00+00:00,2026-08-17T17:03:00+00:00,3371,20438,356938035643104,4G,ipdr.csv
IPDR-00019,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-17T20:57:00+00:00,2026-08-17T21:03:00+00:00,3950,22391,356938035643104,4G,ipdr.csv
IPDR-00020,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-18T00:57:00+00:00,2026-08-18T01:03:00+00:00,2205,9392,356938035643104,4G,ipdr.csv
IPDR-00021,CASE_002,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-18T04:57:00+00:00,2026-08-18T05:03:00+00:00,2383,21861,356938035643104,4G,ipdr.csv
IPDR-00022,CASE_004,9999900103,10.14.7.22,203.0.113.13,198.51.100.7,443,2026-08-15T09:15:00+00:00,2026-08-15T09:32:00+00:00,11858,53178,356938035643103,4G,ipdr.csv
IPDR-00023,CASE_004,9999900102,10.14.7.22,203.0.113.12,198.51.100.7,443,2026-08-15T10:25:00+00:00,2026-08-15T10:46:00+00:00,4250,56970,356938035643102,4G,ipdr.csv
IPDR-00024,CASE_004,9999900102,10.14.7.22,203.0.113.12,198.51.100.7,443,2026-08-15T11:35:00+00:00,2026-08-15T11:46:00+00:00,8825,35552,356938035643102,4G,ipdr.csv
IPDR-00025,CASE_004,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T12:45:00+00:00,2026-08-15T12:50:00+00:00,5512,68528,356938035643104,4G,ipdr.csv
IPDR-00026,CASE_004,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T13:55:00+00:00,2026-08-15T14:00:00+00:00,3420,73897,356938035643104,4G,ipdr.csv
IPDR-00027,CASE_004,9999900101,10.14.7.22,203.0.113.11,198.51.100.7,443,2026-08-15T15:05:00+00:00,2026-08-15T15:15:00+00:00,10914,61478,356938035643101,4G,ipdr.csv
IPDR-00028,CASE_004,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T16:15:00+00:00,2026-08-15T16:23:00+00:00,11832,73437,356938035643104,4G,ipdr.csv
IPDR-00029,CASE_004,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T17:25:00+00:00,2026-08-15T17:43:00+00:00,8077,67241,356938035643104,4G,ipdr.csv
IPDR-00030,CASE_004,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-15T18:35:00+00:00,2026-08-15T18:43:00+00:00,7891,39524,356938035643106,4G,ipdr.csv
IPDR-00031,CASE_004,9999900101,10.14.7.22,203.0.113.11,198.51.100.7,443,2026-08-15T19:45:00+00:00,2026-08-15T19:51:00+00:00,2744,82523,356938035643101,4G,ipdr.csv
IPDR-00032,CASE_004,9999900103,10.14.7.22,203.0.113.13,198.51.100.7,443,2026-08-15T20:55:00+00:00,2026-08-15T21:10:00+00:00,3332,88698,356938035643103,4G,ipdr.csv
IPDR-00033,CASE_004,9999900104,10.14.7.22,203.0.113.14,198.51.100.7,443,2026-08-15T22:05:00+00:00,2026-08-15T22:29:00+00:00,8132,15538,356938035643104,4G,ipdr.csv
IPDR-00034,CASE_004,9999900103,10.14.7.22,203.0.113.13,198.51.100.7,443,2026-08-15T23:15:00+00:00,2026-08-15T23:21:00+00:00,8901,34832,356938035643103,4G,ipdr.csv
IPDR-00035,CASE_004,9999900103,10.14.7.22,203.0.113.13,198.51.100.7,443,2026-08-16T00:25:00+00:00,2026-08-16T00:49:00+00:00,8644,81978,356938035643103,4G,ipdr.csv
IPDR-00036,CASE_004,9999900102,10.14.7.22,203.0.113.12,198.51.100.7,443,2026-08-16T01:35:00+00:00,2026-08-16T01:56:00+00:00,9078,41695,356938035643102,4G,ipdr.csv
